ADDRESS,NEIGHBOURHOOD_NAME,WARD,ZONING,SECTOR,SIZE (m2),TYPOLOGY,KNOWN PLANNING APPLICATIONS,OWNERSHIP_TYPE,GROUPS,LATITUDE,LONGITUDE,LOCATION,Geometry Point
9515 105 AVENUE NW,Boyle Street,6,RA7,Central,375.283,Central Core,NA,PRIVATE,16,53.549297365085,-113.481580262072,"(53.549297365085, -113.481580262072)",POINT (-113.481580262072 53.549297365085)
9614 105A AVENUE NW,McCauley,6,DC1,Central,375.171,Central Core,1) Major Development Permit: Job No 142763933-001: To change the Use of a portion of an Automotive and Equipment Repair Shop to Business Support Services (Print shop),PRIVATE,,53.5499960862017,-113.485923423265,"(53.5499960862017, -113.485923423265)",POINT (-113.485923423265 53.5499960862017)
1089 TORY ROAD NW,Terwillegar Towne,9,RF1,Southwest,860.052,Established,NA,PRIVATE,,53.4507552796794,-113.568665660495,"(53.4507552796794, -113.568665660495)",POINT (-113.568665660495 53.4507552796794)
11825 38 STREET NW,Beacon Heights,7,RF3,Central,575.783,Mature,1) Minor Development Permit: Job No 138146306-001: To construct a Semi-detached house with partly covered/uncovered rear deck and front veranda,PRIVATE,,53.5714794076206,-113.39950160869,"(53.5714794076206, -113.39950160869)",POINT (-113.39950160869 53.5714794076206)
9736 100A STREET NW,Rossdale,6,DC1,Central,306.975,Central Core,"1) Rezoning: To rezone from DC1 to DC1, AP, A",MUNICIPAL,77,53.5351357236578,-113.492781935963,"(53.5351357236578, -113.492781935963)",POINT (-113.492781935963 53.5351357236578)
10853 97 STREET NW,McCauley,6,DC1,Central,335.094,Central Core,NA,PRIVATE,,53.5549811803066,-113.490835290918,"(53.5549811803066, -113.490835290918)",POINT (-113.490835290918 53.5549811803066)
10342 157 STREET NW,Britannia Youngstown,1,RF4,Central,696.133,Mature,NA,PRIVATE,,53.5461127888506,-113.592612719699,"(53.5461127888506, -113.592612719699)",POINT (-113.592612719699 53.5461127888506)
12810 123 STREET NW,Calder,2,RF2,Central,580.198,Mature,"1) Minor Development Permit: Job No 135093606-001: To demolish a Single House and Rear Detached Garage 2) Minor Development Permit: Job No 140900463-001: To construct a semi-detached house with verandas, rear uncovered decks (3.76m x 2.43m) and fireplaces",PRIVATE,,53.5863468250866,-113.533943449966,"(53.5863468250866, -113.533943449966)",POINT (-113.533943449966 53.5863468250866)
12745 119 STREET NW,Calder,2,RF2,Central,425.435,Mature,1) Minor Development Permit: Job No 149156863-001: To demolish a Single Detached House and rear detached garage,PRIVATE,,53.5863141128973,-113.526327191917,"(53.5863141128973, -113.526327191917)",POINT (-113.526327191917 53.5863141128973)
11263 79 STREET NW,Cromdale,7,AP,Central,457.821,Mature,NA,PRIVATE,123,53.5623353470802,-113.462022635507,"(53.5623353470802, -113.462022635507)",POINT (-113.462022635507 53.5623353470802)
9748 100A STREET NW,Rossdale,6,DC1,Central,613.532,Central Core,"1) Rezoning: To rezone from DC1 to DC1, AP, A",MUNICIPAL,77,53.535455565315,-113.492782427511,"(53.535455565315, -113.492782427511)",POINT (-113.492782427511 53.535455565315)
9425 98 AVENUE NW,Cloverdale,8,CNC,Central,450.621,Central Core,NA,PRIVATE,,53.5377687099554,-113.472943276823,"(53.5377687099554, -113.472943276823)",POINT (-113.472943276823 53.5377687099554)
11327 ST ALBERT TRAIL NW,Inglewood,2,RF3,Central,836.658,Mature,NA,PRIVATE,,53.562802638998,-113.544161870751,"(53.562802638998, -113.544161870751)",POINT (-113.544161870751 53.562802638998)
15127 31 STREET NW,Kirkness,4,RF4,Northeast,247.426,Established,NA,PRIVATE,194,53.6149690192565,-113.385815890634,"(53.6149690192565, -113.385815890634)",POINT (-113.385815890634 53.6149690192565)
2503 78 STREET NW,Meyonohk,11,RA7,Southeast,857.737,Established,NA,PRIVATE,,53.456068959223,-113.448676106424,"(53.456068959223, -113.448676106424)",POINT (-113.448676106424 53.456068959223)
10709 111 AVENUE NW,Central McDougall,6,RF5,Central,743.442,Central Core,NA,PRIVATE,26,53.5585506589911,-113.505309624349,"(53.5585506589911, -113.505309624349)",POINT (-113.505309624349 53.5585506589911)
10436 85 AVENUE NW,Strathcona,8,RF4,Central,108.145,Central Core,NA,PRIVATE,86,53.5211055894158,-113.499753650158,"(53.5211055894158, -113.499753650158)",POINT (-113.499753650158 53.5211055894158)
1222 DECKER WAY NW,Donsdale,5,RF1,West,528.34,Established,NA,PRIVATE,209,53.4831331511286,-113.637051615231,"(53.4831331511286, -113.637051615231)",POINT (-113.637051615231 53.4831331511286)
4613 118 AVENUE NW,Beverly Heights,7,CB1,Central,279.095,Mature,NA,PRIVATE,150,53.5701050620076,-113.412984709554,"(53.5701050620076, -113.412984709554)",POINT (-113.412984709554 53.5701050620076)
8948 82 AVENUE NW,Bonnie Doon,8,CSC,Central,404.666,Mature,NA,PRIVATE,185,53.5183376496738,-113.467044534541,"(53.5183376496738, -113.467044534541)",POINT (-113.467044534541 53.5183376496738)
12133 97 STREET NW,Alberta Avenue,7,CNC,Central,357.33,Mature,"1) Major Development Permit: Job No 140222506-001: To construct a Rapid Drive-through Vehicle Services Use and General Retail Stores Use building - 97th Street Car Wash 2) Job No 144821268-001: To construct a two-storey commercial building with General Retail Stores, Convenience Retail Stores, and Health Services Uses.",PRIVATE,108,53.5763037876861,-113.491526579198,"(53.5763037876861, -113.491526579198)",POINT (-113.491526579198 53.5763037876861)
7206 106 STREET NW,Queen Alexandra,8,RF3,Central,429.699,Mature,NA,PRIVATE,,53.5088274243142,-113.504361813952,"(53.5088274243142, -113.504361813952)",POINT (-113.504361813952 53.5088274243142)
9648C 106 AVENUE NW,McCauley,6,RF6,Central,750.749,Central Core,NA,PRIVATE,,53.550629067913,-113.487730515017,"(53.550629067913, -113.487730515017)",POINT (-113.487730515017 53.550629067913)
517 HILLCREST POINT NW,Patricia Heights,5,RSL,Central,1085.02,Mature,NA,PRIVATE,168,53.5046931608209,-113.592305571693,"(53.5046931608209, -113.592305571693)",POINT (-113.592305571693 53.5046931608209)
9634 99A STREET NW,Strathcona,8,RF3,Central,354.831,Central Core,NA,PRIVATE,,53.5353974799216,-113.485815635866,"(53.5353974799216, -113.485815635866)",POINT (-113.485815635866 53.5353974799216)
8930 99 STREET NW,Strathcona,8,CNC,Central,404.741,Central Core,NA,PRIVATE,,53.5251532775795,-113.486547263759,"(53.5251532775795, -113.486547263759)",POINT (-113.486547263759 53.5251532775795)
12223 77 STREET NW,Elmwood Park,7,RF3,Central,695.456,Mature,NA,PRIVATE,135,53.5774539527477,-113.459450760545,"(53.5774539527477, -113.459450760545)",POINT (-113.459450760545 53.5774539527477)
10554 97 STREET NW,McCauley,6,CB2,Central,357.718,Central Core,NA,PRIVATE,,53.5499011757295,-113.488995354048,"(53.5499011757295, -113.488995354048)",POINT (-113.488995354048 53.5499011757295)
6930 109 STREET NW,Parkallen,10,CB1,Central,359.845,Mature,1) Sign Development Permit: Job No 137605497-001: To construct a Temporary On-premises Freestanding Signs (Bentley Condos) & 3 Temporary On-premises Fascia Signs - Max duration 2 year from the date of Approval.,PRIVATE,,53.5063055547085,-113.512459666896,"(53.5063055547085, -113.512459666896)",POINT (-113.512459666896 53.5063055547085)
9622 107A AVENUE NW,McCauley,6,RA7,Central,375.677,Central Core,NA,PRIVATE,38,53.5533989265733,-113.488035896396,"(53.5533989265733, -113.488035896396)",POINT (-113.488035896396 53.5533989265733)
8116 115 AVENUE NW,Parkdale,7,RA7,Central,459.197,Mature,NA,MUNICIPAL,117,53.5660169190832,-113.466804679595,"(53.5660169190832, -113.466804679595)",POINT (-113.466804679595 53.5660169190832)
7208 156 STREET NW,Patricia Heights,5,RSL,Central,594.494,Mature,NA,PRIVATE,168,53.5044127464765,-113.590797041463,"(53.5044127464765, -113.590797041463)",POINT (-113.590797041463 53.5044127464765)
9352 103A AVENUE NW,Boyle Street,6,RF6,Central,558.633,Central Core,NA,PRIVATE,,53.5482883803874,-113.479516758786,"(53.5482883803874, -113.479516758786)",POINT (-113.479516758786 53.5482883803874)
10549 123 STREET NW,Westmount,6,CB2,Central,696.311,Mature,NA,PRIVATE,95,53.5491981981306,-113.53363109835,"(53.5491981981306, -113.53363109835)",POINT (-113.53363109835 53.5491981981306)
9624 103 STREET NW,Rossdale,6,DC1,Central,696.075,Central Core,NA,PRIVATE,82,53.5332016000512,-113.49793328351,"(53.5332016000512, -113.49793328351)",POINT (-113.49793328351 53.5332016000512)
10811 152 STREET NW,High Park,1,RF1,Central,784.329,Mature,NA,PRIVATE,,53.5534535685542,-113.58287512237,"(53.5534535685542, -113.58287512237)",POINT (-113.58287512237 53.5534535685542)
