Genus Name,Species Name,Common Name,species,bio01,bio02,bio03,bio04,bio05,bio06,bio12,bio16,bio17,embergerQ
Abarema,cochliocarpos,Abarema cochliocarpos,Abarema cochliocarpos,21.28,10.04,69.93,150.83,28.18,13.83,1045.89,424.09,121.6,257.13
Abarema,glauca,Glaucous abarema,Abarema glauca,25.94,9.23,67.96,153.01,32.3,18.65,1033.0,455.0,78.5,252.49
Abarema,jupunba,Frijolillo,Abarema jupunba,25.01,9.52,79.4,67.08,31.18,19.05,2425.99,940.7,278.97,705.81
Abarema,langsdorfii,pau gamba,Abarema langsdorfii,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Abatia,parviflora,Abatia parviflora,Abatia parviflora,13.39,9.84,84.54,34.41,19.23,7.56,1505.88,567.32,177.71,468.88
Abelia,chinensis,Abelia,Abelia chinensis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Abelia,triflora,Indian abelia,Abelia triflora,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Abelia,x grandiflora,Glossy abelia,Abelia x grandiflora,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Abies,alba,European silver fir,Abies alba,8.1,8.16,32.91,621.54,21.93,-2.86,992.83,307.57,195.24,143.62
Abies,amabilis,Pacific silver fir,Abies amabilis,6.01,8.58,35.48,567.07,20.16,-4.06,1817.31,785.16,183.9,280.85
Abies,balsamea,Balsam fir,Abies balsamea,4.72,10.64,26.81,1046.71,24.31,-15.5,1022.38,318.29,190.88,94.94
Abies,bracteata,Bristlecone fir,Abies bracteata,11.87,12.75,55.91,373.62,25.18,2.28,880.26,467.91,12.52,134.3
Abies,cephalonica,Greek Fir,Abies cephalonica,11.02,8.86,35.03,614.06,25.34,-0.06,890.69,309.3,139.15,126.57
Abies,cilicica,Syrian Fir,Abies cilicica,11.63,10.97,36.95,707.0,27.89,-1.84,796.0,389.5,39.26,95.51
Abies,concolor,White fir,Abies concolor,7.93,12.21,39.81,676.16,25.01,-5.38,727.41,306.53,74.89,88.27
Abies,concolor v. lowiana,Sierra white fir,Abies concolor v. lowiana,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Abies,delavayi,Delavay's Fir,Abies delavayi,8.02,9.7,39.26,563.1,19.06,-5.74,1056.3,525.81,66.75,162.88
Abies,fabri,Faber's fir,Abies fabri,14.02,9.53,36.2,617.33,26.37,-0.09,1044.05,600.48,33.05,138.61
Abies,fargesii,Farges Fir,Abies fargesii,9.61,10.69,34.87,725.56,24.06,-6.75,797.44,398.07,30.56,94.96
Abies,firma,Momi Fir,Abies firma,12.31,8.72,28.23,807.17,27.85,-3.01,1673.63,656.17,180.61,192.23
Abies,forrestii v. georgei,George's Fir,Abies forrestii v. georgei,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Abies,fraseri,Fraser fir,Abies fraseri,8.63,9.74,34.31,690.3,22.6,-5.73,1583.26,434.11,353.47,200.91
Abies,grandis,Grand fir,Abies grandis,8.89,8.17,35.37,560.32,22.01,-1.16,867.56,289.65,150.39,136.99
Abies,holophylla,Manchurian fir,Abies holophylla,8.6,9.86,27.08,992.42,25.71,-10.84,1226.64,673.27,92.16,120.94
Abies,homolepis,Japanese fir,Abies homolepis,8.43,8.82,28.55,813.76,24.15,-6.79,1669.17,692.18,166.29,192.36
Abies,kawakamii,Taiwan fir,Abies kawakamii,10.6,6.01,37.13,360.05,17.81,1.61,3396.41,1430.03,257.8,745.07
Abies,koreana,Korean Fir,Abies koreana,8.57,8.29,30.79,711.87,22.97,-4.23,1053.88,425.38,149.44,142.04
Abies,lasiocarpa,Subalpine fir,Abies lasiocarpa,2.04,11.22,34.91,754.4,19.79,-12.42,975.62,382.38,130.99,124.17
Abies,magnifica,California red fir,Abies magnifica,5.74,13.91,44.85,626.84,24.12,-6.95,1029.31,490.11,52.48,121.05
Abies,mariesii,Maries's Fir,Abies mariesii,5.59,8.83,26.38,908.87,22.66,-10.81,1830.63,744.77,221.58,196.36
Abies,nephrolepis,Khingan fir,Abies nephrolepis,3.39,11.39,25.85,1217.99,24.06,-20.26,968.48,525.22,65.33,85.38
Abies,nordmanniana,Nordmann fir,Abies nordmanniana,8.29,7.58,31.33,620.99,21.67,-2.53,788.78,246.67,147.13,116.91
Abies,nordmanniana ssp. equi-trojani,Turkey fir,Abies nordmanniana ssp. equi-trojani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Abies,numidica,Algerian Fir,Abies numidica,11.76,9.36,34.69,655.65,27.02,0.04,803.57,313.21,88.57,107.27
Abies,pindrow,West Himalayan Fir,Abies pindrow,8.05,9.91,35.52,690.95,22.21,-6.16,1029.28,479.79,119.38,138.26
Abies,pinsapo,Spanish fir,Abies pinsapo,12.23,10.01,37.86,591.79,27.42,0.91,803.1,306.07,87.27,108.71
Abies,procera,Noble fir,Abies procera,7.75,7.13,34.57,513.3,19.39,-1.39,1102.9,385.12,173.02,199.22
Abies,religiosa,Sacred fir,Abies religiosa,12.71,13.17,68.34,171.06,21.95,2.63,1082.45,609.86,43.24,203.11
Abies,sibirica,Siberian fir,Abies sibirica,2.15,9.06,23.5,1083.05,22.47,-16.45,575.27,216.88,81.21,55.9
Abies,spectabilis,Himalayan Fir,Abies spectabilis,7.16,10.99,46.13,488.39,17.8,-6.03,1012.58,549.92,68.25,157.41
Abies,squamata,Flaky fir,Abies squamata,5.54,13.2,43.36,626.18,18.76,-11.63,655.24,368.85,13.06,78.46
Abies,veitchii,Veitch's Silver Fir,Abies veitchii,6.66,8.47,28.95,776.17,21.94,-7.56,1477.98,593.43,162.75,179.29
Abies,vejari,Vejar's fir,Abies vejari,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Abies,x borisii-regis,Bulgarian fir,Abies x borisii-regis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Abies,x masjoannis,Masjoannis fir,Abies x masjoannis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Abies,x phanerolepis,Bracted balsam fir,Abies x phanerolepis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Abies,x shastensis,Shasta red fir,Abies x shastensis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Abrus,precatorius,Rosary pea,Abrus precatorius,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Abutilon,berlandieri,Berlandier indian mallow,Abutilon berlandieri,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Abutilon,eremitopetalum,Hiddenpetal indian mallow,Abutilon eremitopetalum,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Abutilon,grandifolium,Hairy indian mallow,Abutilon grandifolium,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Abutilon,megapotamicum,Abutilon megapotamicum,Abutilon megapotamicum,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Abutilon,menziesii,Ko'oloa 'ula,Abutilon menziesii,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Abutilon,palmeri,Palmer's indian mallow,Abutilon palmeri,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Abutilon,sandwicense,Greenflower indian mallow,Abutilon sandwicense,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,acradenia,Silky Wattle,Acacia acradenia,25.43,14.22,51.57,480.05,37.95,10.3,497.31,310.61,16.03,61.5
Acacia,acuminata,Raspberry Jam Wattle,Acacia acuminata,18.1,13.61,49.09,532.97,33.56,5.77,350.45,152.26,41.53,43.72
Acacia,adunca,Wallangara Wattle,Acacia adunca,14.64,11.39,47.51,468.1,26.17,2.22,848.95,319.13,132.87,124.11
Acacia,alata,Acacia,Acacia alata,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,amoena,Boomerang Wattle,Acacia amoena,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,anceps,Two-edged Wattle,Acacia anceps,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,anegadensis,Blackbrush wattle,Acacia anegadensis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,aneura,Mulga,Acacia aneura,20.41,14.2,46.56,604.42,35.85,5.33,257.79,95.55,39.69,28.84
Acacia,anfractuosa,Acacia anfractuosa,Acacia anfractuosa,17.6,13.55,47.43,560.02,33.39,4.82,302.44,121.19,43.53,36.22
Acacia,angustissima,Prairie acacia,Acacia angustissima,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,argyrophylla,Silver Mulga,Acacia argyrophylla,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,asak,Forssk,Acacia asak,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,assimilis,Wodjil,Acacia assimilis,17.92,13.51,49.75,519.89,33.11,5.81,338.76,136.08,45.75,43.33
Acacia,aulacocarpa,Golden-flowered Salwood,Acacia aulacocarpa,20.88,9.92,50.98,345.33,29.66,10.17,1313.0,636.05,110.09,241.55
Acacia,auriculiformis,Northern black wattle,Acacia auriculiformis,26.61,9.71,62.19,187.52,34.07,18.12,1437.03,816.09,52.01,327.42
Acacia,axillaris,Midlands Wattle,Acacia axillaris,10.55,10.5,51.49,355.46,21.6,1.21,695.41,202.8,140.45,120.81
Acacia,baileyana,Bailey acacia,Acacia baileyana,14.52,11.14,48.72,423.65,27.03,4.07,788.1,273.93,125.8,124.6
Acacia,bakeri,Baker's Wattle,Acacia bakeri,19.64,10.05,51.09,359.01,28.52,8.86,1622.04,624.72,185.91,285.49
Acacia,bancroftiorum,Bancroft's Wattle,Acacia bancroftiorum,20.29,13.19,50.55,479.72,32.24,6.13,651.04,283.8,76.36,86.34
Acacia,beckleri,Barrier Range Wattle,Acacia beckleri,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,berlandieri,Guajillo,Acacia berlandieri,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acacia,binervata,Two-veined Hickory,Acacia binervata,16.31,9.24,47.49,379.38,25.54,6.12,1309.66,459.29,194.37,235.9
Acacia,binervia,Coast Mayll,Acacia binervia,16.68,10.7,48.65,416.45,27.16,5.23,987.61,343.84,159.38,160.85
Acacia,blakelyi,Blakelyi's Wattle,Acacia blakelyi,19.96,13.97,51.09,509.39,35.12,7.77,421.39,225.14,27.36,52.8
Acacia,boormanii,Snowy River Wattle,Acacia boormanii,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
